lake_name,proj_center,x_center,y_center,proj_outlet,x_outlet,y_outlet
anterne,EPSG:2154,993879.779959307,6550570.55654821,EPSG:2154,993454.0065587446,6550690.697161332
arpont,EPSG:2154,995759.003370441,6475580.99614554,EPSG:2154,995905.807265472,6475544.7128602
aumar,EPSG:2154,466779.644259581,6197903.6654216,EPSG:2154,466472.7473252913,6197916.655180676
bionnassay,EPSG:2154,993609.559863437,6536106.29468425,EPSG:2154,993544.1539206364,6536143.896378178
blanc_du_bramant,EPSG:2154,949201.084561683,6459894.08097419,EPSG:2154,949170.9273768052,6460115.828444486
blanc_du_carro,EPSG:2154,1022612.00335966,6488541.99447518,EPSG:2154,1022445.0908889376,6488493.694894457
bramant,EPSG:2154,949313.804793341,6460622.01460905,EPSG:2154,949278.8668340788,6460996.752224484
bresses_inferieur,EPSG:2154,1039129.99997849,6349012.99501079,EPSG:2154,1039121.614487006,6348967.410300241
bresses_superieur,EPSG:2154,1039280.7031211944,6349194.484000492,EPSG:2154,1039345.0364329994,6349128.294106729
brevent,EPSG:2154,996498.549654415,6543770.24160964,EPSG:2154,996358.9600572772,6543846.417423077
capitello,EPSG:2154,1196872.557,6142526.21,EPSG:2154,1196978.0336424406,6142617.640071459
corne,EPSG:2154,941554.252377959,6463049.14580771,EPSG:2154,941515.2887839729,6462903.895445844
cornu,EPSG:2154,997939.001959854,6547066.99804621,EPSG:2154,997787.456574694,6546943.02851302
cos,EPSG:2154,941575.947246366,6464037.25322302,EPSG:2154,941771.458490036,6464395.550871648
izourt,EPSG:2154,576790.450899188,6177700.40458645,EPSG:2154,576761.6187136463,6178194.82976534
jovet,EPSG:2154,989898.001722303,6524350.99616946,EPSG:2154,989749.975539979,6524276.777394979
lauzanier,EPSG:2154,1008404.9448872,6371943.91599937,EPSG:2154,1008443.92304678,6372108.33178153
melo,EPSG:2154,1197722.43445757,6142652.29369558,EPSG:2154,1197786.50948567,6142750.9136662
merlet_superieur,EPSG:2154,984903.004835783,6479996.99607498,EPSG:2154,984994.665027829,6479879.451978778
mont_coua,EPSG:2154,984999.796860399,6475279.32835665,EPSG:2154,984875.690265386,6475371.33280209
muzelle,EPSG:2154,944228.998750495,6432722.00349571,EPSG:2154,944058.762789878,6432763.78216582
nino,EPSG:2154,1190592.34125963,6146820.16103772,EPSG:2154,1190758.115230308,6146705.463562413
noir_du_carro,EPSG:2154,1022433.00243694,6488627.99995021,EPSG:2154,1022374.12731183,6488528.02513973
pave,EPSG:2154,962072.249129459,6437558.96584516,EPSG:2154,962280.6881746528,6437466.14318127
petarel,EPSG:2154,950533.564108661,6416487.27275022,EPSG:2154,950436.64360958,6416557.48012932
pisses,EPSG:2154,967539.08525713,6408328.66212858,EPSG:2154,967491.799251007,6408244.64487038
plan_vianney,EPSG:2154,939981.420133692,6433349.54074938,EPSG:2154,940137.357608528,6433468.43392867
pormenaz,EPSG:2154,993721.116419414,6547328.35940879,EPSG:2154,993612.63825361,6547401.1830291
rabuons,EPSG:2154,1017767.70966608,6360360.98687019,EPSG:2154,1017512.6825548244,6360189.895886031
sarenne,EPSG:2154,945925.990529947,6451075.53166138,EPSG:2154,945901.040875868,6450956.372859437
