lake_name,lake_area [ha],shed_area [ha],ratio_shed_to_lake,alt_lake [m],alt_max [m],alt_median [m],bare land [ha],grass [ha],sparse veget. [ha],shrubs [ha],forest [ha],snow & ice [ha],water [ha]
anterne,11.0,236.8,21.6,2060.6,2469.8,2186.2,61.2,163.7,10.1,1.6,0.2,0.0,0.0
arpont,3.6,106.6,29.7,2669.5,3586.2,2981.8,84.0,0.1,0.5,0.0,0.0,21.6,0.3
aumar,25.8,209.8,8.1,2191.8,2663.1,2339.2,33.8,164.0,5.6,0.1,4.7,0.0,1.5
benit,4.0,73.5,18.6,1452.3,2232.4,1766.3,13.4,33.1,9.0,1.5,16.5,0.0,0.0
bionnassay,1.4,798.8,572.5,1733.7,4304.2,2971.9,356.7,17.7,6.6,0.1,1.0,416.8,0.0
blanc_du_bramant,10.7,266.6,24.9,2471.6,3162.9,2675.0,190.3,62.7,13.2,0.0,0.0,0.0,0.3
blanc_du_carro,4.5,240.9,53.9,2751.5,3535.6,3029.3,215.2,6.1,2.6,0.1,0.0,15.0,1.7
bramant,15.5,331.7,21.4,2448.4,3162.9,2637.0,222.7,91.0,18.0,0.0,0.0,0.0,0.0
bresses_inferieur,1.2,9.7,8.4,2459.1,2700.7,2523.9,3.9,4.0,1.8,0.0,0.0,0.0,0.0
bresses_superieur,0.9,27.1,29.7,2499.3,2791.4,2631.3,25.6,0.2,1.0,0.0,0.0,0.0,0.0
brevent,2.5,43.3,17.6,2130.6,2510.7,2256.0,4.6,35.4,2.5,0.0,0.0,0.0,0.0
capitello,5.4,40.2,7.5,1929.0,2313.5,2092.7,25.1,12.2,2.8,0.0,0.1,0.0,0.0
corne,8.2,97.5,11.9,2092.7,2597.0,2210.5,30.1,58.0,6.8,0.0,0.0,0.0,2.5
cornu,7.2,61.9,8.6,2276.2,2627.8,2391.1,41.1,14.2,6.5,0.0,0.0,0.0,0.0
cos,19.1,282.7,14.8,2182.2,2832.9,2376.4,175.7,83.7,22.0,0.2,0.0,0.0,1.2
izourt,32.2,1186.8,36.8,1636.8,2877.9,2353.3,176.8,801.3,45.7,74.5,51.4,0.0,37.1
jovet,7.0,295.9,42.1,2172.8,3195.5,2414.6,177.7,101.7,11.7,2.4,0.0,0.2,2.2
lauvitel,39.0,1469.0,37.6,1496.6,3166.5,2322.4,556.9,698.9,81.1,33.2,88.8,4.9,5.2
lauzanier,3.9,522.3,134.1,2284.2,2955.4,2597.2,321.8,147.4,32.2,4.4,0.0,0.0,9.0
lauzon,0.3,12.9,43.1,2007.6,2434.4,2112.9,0.0,12.1,0.0,0.3,0.5,0.0,0.0
melo,6.1,218.2,35.5,1709.6,2337.3,1973.5,62.6,131.2,14.2,2.5,7.6,0.0,0.0
merlet_superieur,4.9,64.9,13.2,2446.9,3049.8,2600.7,42.2,21.3,1.3,0.0,0.1,0.0,0.0
mont_coua,2.5,79.8,32.2,2672.4,3022.1,2800.1,76.4,1.4,1.1,0.0,0.0,0.0,1.0
muzelle,9.4,440.5,47.1,2101.2,3460.2,2528.7,321.8,89.4,18.7,0.7,0.0,9.9,0.0
nino,6.8,111.9,16.4,1746.3,2040.3,1834.4,6.2,89.9,4.3,9.8,1.7,0.0,0.0
noir_du_carro,1.2,48.4,41.5,2754.6,3148.4,2939.4,40.2,5.0,3.1,0.0,0.0,0.0,0.1
pave,7.9,117.7,14.8,2842.4,3882.1,3155.6,101.5,0.0,0.0,0.0,0.0,16.2,0.0
petarel,2.4,137.1,58.2,2092.1,2637.4,2327.5,59.6,62.2,11.7,0.5,0.8,0.0,2.0
pisses,1.6,65.5,41.9,2495.9,3046.1,2750.4,56.9,5.6,2.9,0.0,0.0,0.0,0.0
plan_vianney,5.2,73.4,14.1,2251.5,2781.9,2449.6,32.2,33.0,7.9,0.2,0.0,0.0,0.0
pontet,2.5,149.5,59.8,1981.5,2968.5,2300.2,75.3,67.8,5.6,0.8,0.0,0.0,0.0
pormenaz,4.3,44.0,10.2,1945.4,2322.0,2056.3,1.5,39.8,1.0,0.5,1.3,0.0,0.0
pourssolet,1.8,82.2,44.7,1645.9,2432.2,1901.8,7.0,26.7,3.9,0.3,44.2,0.0,0.0
rabuons,20.6,375.1,18.2,2491.4,3031.5,2704.5,293.8,42.5,26.1,0.0,0.0,0.0,12.7
sarenne,2.1,107.5,51.5,2848.6,3323.9,3023.7,98.9,0.0,0.0,0.0,0.0,8.5,0.0
