lake_name,lake_area [ha],shed_area [ha],ratio_shed_to_lake,alt_lake [m],alt_max [m],alt_median [m],bare land [%],grass [%],sparse veget. [%],shrubs [%],forest [%],snow & ice [%],water [%]
anterne,11.0,236.8,21.6,2060.6,2469.8,2186.2,25.8,69.1,4.3,0.7,0.1,0.0,0.0
arpont,3.6,106.6,29.7,2669.5,3586.2,2981.8,78.9,0.1,0.5,0.0,0.0,20.3,0.3
aumar,25.8,209.8,8.1,2191.8,2663.1,2339.2,16.1,78.2,2.7,0.1,2.2,0.0,0.7
benit,4.0,73.5,18.6,1452.3,2232.4,1766.3,18.2,45.1,12.3,2.0,22.4,0.0,0.0
bionnassay,1.4,798.8,572.5,1733.7,4304.2,2971.9,44.7,2.2,0.8,0.0,0.1,52.2,0.0
blanc_du_bramant,10.7,266.6,24.9,2471.6,3162.9,2675.0,71.4,23.5,4.9,0.0,0.0,0.0,0.1
blanc_du_carro,4.5,240.9,53.9,2751.5,3535.6,3029.3,89.4,2.5,1.1,0.0,0.0,6.2,0.7
bramant,15.5,331.7,21.4,2448.4,3162.9,2637.0,67.1,27.4,5.4,0.0,0.0,0.0,0.0
bresses_inferieur,1.2,9.7,8.4,2459.1,2700.7,2523.9,39.9,41.0,19.1,0.0,0.0,0.0,0.0
bresses_superieur,0.9,27.1,29.7,2499.3,2791.4,2631.3,95.6,0.8,3.6,0.0,0.0,0.0,0.0
brevent,2.5,43.3,17.6,2130.6,2510.7,2256.0,10.8,83.3,5.9,0.0,0.0,0.0,0.0
capitello,5.4,40.2,7.5,1929.0,2313.5,2092.7,62.6,30.3,6.9,0.0,0.3,0.0,0.0
corne,8.2,97.5,11.9,2092.7,2597.0,2210.5,30.9,59.5,7.0,0.0,0.0,0.0,2.6
cornu,7.2,61.9,8.6,2276.2,2627.8,2391.1,66.4,23.0,10.6,0.0,0.0,0.0,0.0
cos,19.1,282.7,14.8,2182.2,2832.9,2376.4,62.1,29.6,7.8,0.1,0.0,0.0,0.4
izourt,32.2,1186.8,36.8,1636.8,2877.9,2353.3,14.9,67.5,3.8,6.3,4.3,0.0,3.1
jovet,7.0,295.9,42.1,2172.8,3195.5,2414.6,60.0,34.4,3.9,0.8,0.0,0.1,0.8
lauvitel,39.0,1469.0,37.6,1496.6,3166.5,2322.4,37.9,47.6,5.5,2.3,6.0,0.3,0.4
lauzanier,3.9,522.3,134.1,2284.2,2955.4,2597.2,62.5,28.6,6.3,0.9,0.0,0.0,1.7
lauzon,0.3,12.9,43.1,2007.6,2434.4,2112.9,0.0,93.8,0.0,2.2,4.0,0.0,0.0
melo,6.1,218.2,35.5,1709.6,2337.3,1973.5,28.7,60.1,6.5,1.2,3.5,0.0,0.0
merlet_superieur,4.9,64.9,13.2,2446.9,3049.8,2600.7,65.0,32.8,2.0,0.0,0.2,0.0,0.0
mont_coua,2.5,79.8,32.2,2672.4,3022.1,2800.1,95.7,1.7,1.4,0.0,0.0,0.0,1.2
muzelle,9.4,440.5,47.1,2101.2,3460.2,2528.7,73.0,20.3,4.2,0.2,0.0,2.3,0.0
nino,6.8,111.9,16.4,1746.3,2040.3,1834.4,5.5,80.3,3.9,8.8,1.5,0.0,0.0
noir_du_carro,1.2,48.4,41.5,2754.6,3148.4,2939.4,83.0,10.4,6.4,0.0,0.0,0.0,0.2
pave,7.9,117.7,14.8,2842.4,3882.1,3155.6,86.2,0.0,0.0,0.0,0.0,13.8,0.0
petarel,2.4,137.1,58.2,2092.1,2637.4,2327.5,43.6,45.5,8.5,0.4,0.6,0.0,1.5
pisses,1.6,65.5,41.9,2495.9,3046.1,2750.4,87.0,8.6,4.5,0.0,0.0,0.0,0.0
plan_vianney,5.2,73.4,14.1,2251.5,2781.9,2449.6,43.9,45.0,10.8,0.3,0.1,0.0,0.0
pontet,2.5,149.5,59.8,1981.5,2968.5,2300.2,50.4,45.3,3.7,0.6,0.0,0.0,0.0
pormenaz,4.3,44.0,10.2,1945.4,2322.0,2056.3,3.3,90.4,2.2,1.2,2.9,0.0,0.0
pourssolet,1.8,82.2,44.7,1645.9,2432.2,1901.8,8.6,32.5,4.8,0.4,53.8,0.0,0.0
rabuons,20.6,375.1,18.2,2491.4,3031.5,2704.5,78.3,11.3,7.0,0.0,0.0,0.0,3.4
sarenne,2.1,107.5,51.5,2848.6,3323.9,3023.7,92.1,0.0,0.0,0.0,0.0,7.9,0.0
